Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
DeAndre Carter,30,LVR,WR,17,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Michael Carter,24,NYJ,RB,9,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Corey Clement,29,ARI,RB,3,0,0,2,0,0,0,39.6,1,0,0,0,0,0,0,0,0,0,0
Dane Cruikshank,28,TEN,DB,2,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Milo Eifler,25,ATL,LB,2,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Tay Gowan,25,TEN,CB,1,0,0,1,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Eric Gray,24,NYG,RB,13,0,0,3,2,7,0,70.1,1.7,-3,10,0,0,0,0,0,0,0,2
Blake Grupe,25,NOR,K,17,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Damien Harris,26,BUF,RB,6,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Noah Igbinoghene,24,DAL,CB,5,0,0,2,1,8,0,60.4,14,1,7,0,0,0,0,0,0,0,0
Siaki Ika,23,CLE,DT,4,0,0,0,0,0,0,,,0,0,0,0,1,0,0,1,0,2
